nom	fonction_c	taille	appels
MissionVehicleTrigger			pas de table
PedActionController			pas de table
PedActionControllerUpdate	005ca160	66	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005f49a0@005f49a0
PedAddBroadcastStimulus	005c6dc0	89	FUN_004a60d0@004a60d0 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_0073ad50@0073ad50
PedAddCover	005c6e80	439	FUN_00433250@00433250 FUN_00487e20@00487e20 FUN_00488250@00488250 FUN_005d81e0@005d81e0 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d82b0@005d82b0 FUN_005d82e0@005d82e0 FUN_005d8f20@005d8f20 FUN_005dbbf0@005dbbf0 FUN_006d5860@006d5860 FUN_006d58a0@006d58a0 FUN_006d6300@006d6300
PedAddPedToIgnoreList	005cb6d0	92	FUN_0048bf80@0048bf80 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedAllowCollisionResponse	005ce340	62	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20
PedAlwaysUpdateAnimation	005cbbd0	65	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20
PedApplyDamage	005cc1c0	164	FUN_0047b6b0@0047b6b0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0
PedAreaClearOfPedsInXYZ	005c7180	146	FUN_0048c840@0048c840 FUN_005d8370@005d8370 FUN_005d8450@005d8450
PedAttachEffect	005ced00	138	FUN_00465430@00465430 FUN_00468620@00468620 FUN_00576d80@00576d80 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_00667a00@00667a00
PedAttack	005c9ca0	320	FUN_00470c10@00470c10 FUN_00471240@00471240 FUN_00471320@00471320 FUN_004969a0@004969a0 FUN_005c7220@005c7220 FUN_005d81a0@005d81a0 FUN_005d81c0@005d81c0 FUN_005d8200@005d8200 FUN_005d8fa0@005d8fa0 thunk_FUN_005ee6d0@005ee930
PedAttackCar	005cdd50	135	FUN_00470c60@00470c60 FUN_00471240@00471240 FUN_005c7220@005c7220 FUN_005d8200@005d8200 thunk_FUN_005ee6d0@005ee930
PedAttackNearestCar	005cdde0	126	FUN_00470c60@00470c60 FUN_00471240@00471240 FUN_004d32a0@004d32a0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 thunk_FUN_005ee6d0@005ee930
PedAttackPlayer	005d2620	222	FUN_00470c10@00470c10 FUN_00471240@00471240 FUN_00471320@00471320 FUN_004969a0@004969a0 FUN_005c7220@005c7220 FUN_005d81c0@005d81c0 FUN_005d8200@005d8200 FUN_005d8fa0@005d8fa0 thunk_FUN_005ee6d0@005ee930
PedAttackProp	005cb130	309	FUN_00470d00@00470d00 FUN_00471240@00471240 FUN_00471320@00471320 FUN_004ea270@004ea270 FUN_005c7220@005c7220 FUN_005d81c0@005d81c0 FUN_005d8200@005d8200 FUN_005d82b0@005d82b0 FUN_005d8fa0@005d8fa0 thunk_FUN_005ee6d0@005ee930
PedAttackPropOffset	005cb270	451	FUN_00412850@00412850 FUN_00470d00@00470d00 FUN_00471240@00471240 FUN_004734b0@004734b0 FUN_004ea270@004ea270 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 thunk_FUN_005ee6d0@005ee930
PedAutoCover	005ce380	173	FUN_00470f60@00470f60 FUN_00471240@00471240 FUN_005c7220@005c7220 FUN_005d81c0@005d81c0 FUN_005d8200@005d8200 thunk_FUN_005ee6d0@005ee930
PedBikeBrawl	005cf240	95	FUN_0046fdb0@0046fdb0 FUN_00471320@00471320 FUN_005c7220@005c7220 FUN_005d8200@005d8200 thunk_FUN_005ee6d0@005ee930
PedCanSeeObject	005cafe0	119	FUN_0048d320@0048d320 FUN_005c2770@005c2770 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedCanTeleportOnAreaTransition	005cd080	55	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20
PedCharacterTrigger	005c6660	214	FUN_00424590@00424590 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d82e0@005d82e0 FUN_006d5860@006d5860 FUN_006d6300@006d6300
PedCharacterTriggerDelete	005c6660	214	FUN_00424590@00424590 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d82e0@005d82e0 FUN_006d5860@006d5860 FUN_006d6300@006d6300
PedClearAllWeapons	005c9720	146	FUN_0045d040@0045d040 FUN_004d92c0@004d92c0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005f36d0@005f36d0 FUN_005f3f40@005f3f40
PedClearAntiTether	005cc6e0	50	FUN_00499a20@00499a20 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedClearFocus	005caa80	52	FUN_0048c370@0048c370 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedClearGuard	005d0030	69	FUN_00465690@00465690 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedClearHasAggressed	005ce040	46	FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedClearHitRecord	005cfde0	108	FUN_00465690@00465690 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedClearObjective	005ca930	80	FUN_004700b0@004700b0 FUN_004973d0@004973d0 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedClearObjectives	005ca8e0	80	FUN_00470200@00470200 FUN_004973d0@004973d0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005f3f40@005f3f40
PedClearPOI	005cc070	55	FUN_00447480@00447480 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedClearPOIForAllPeds	005cf630	63	FUN_00473100@00473100
PedClearTether	005c9a30	50	FUN_004998f0@004998f0 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedClearWeapon	005c95c0	105	FUN_0045cf70@0045cf70 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedClimbLadder	005cd350	194	FUN_0046f940@0046f940 FUN_00471240@00471240 FUN_005c6d30@005c6d30 FUN_005c7220@005c7220 FUN_005d8200@005d8200 thunk_FUN_005ee6d0@005ee930
PedClimbWall	005cd2a0	172	FUN_00471240@00471240 FUN_005c6070@005c6070 FUN_005c6d30@005c6d30 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8240@005d8240 thunk_FUN_005ee6d0@005ee930
PedConditionGroup			pas de table
PedConversationMood			pas de table
PedConversationStatus			pas de table
PedCoverSet	005cbc70	340	FUN_00470f60@00470f60 FUN_00471240@00471240 FUN_005c7220@005c7220 FUN_005d81c0@005d81c0 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8f20@005d8f20 FUN_006d6300@006d6300 thunk_FUN_005ee6d0@005ee930
PedCoverSetFromProfile	005cbdd0	266	FUN_00470f60@00470f60 FUN_00471240@00471240 FUN_00487e20@00487e20 FUN_005c7220@005c7220 FUN_005d81c0@005d81c0 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_006d6300@006d6300 thunk_FUN_005ee6d0@005ee930
PedCoverSetOnCoverCallback	005cbee0	77	FUN_004701f0@004701f0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d9e70@005d9e70
PedCreatePoint	005cf9d0	378	FUN_00463560@00463560 FUN_005cf6b0@005cf6b0 FUN_005d8200@005d8200 FUN_005d8460@005d8460 FUN_005d94d0@005d94d0 FUN_005db7e0@005db7e0 FUN_006d5860@006d5860 FUN_006d58a0@006d58a0 FUN_006d6300@006d6300 FUN_0073ad50@0073ad50
PedCreatePointWithAdjustedHeading	005d04e0	289	FUN_005d0360@005d0360 FUN_005d8200@005d8200 FUN_005d8460@005d8460 FUN_005d94d0@005d94d0 FUN_005db7e0@005db7e0 FUN_006d5860@006d5860 FUN_006d58a0@006d58a0 FUN_006d6300@006d6300 FUN_0073ad50@0073ad50
PedCreatePOIPoint	005d0610	846	FUN_00433250@00433250 FUN_004472c0@004472c0 FUN_004477a0@004477a0 FUN_004485e0@004485e0 FUN_00448c70@00448c70 FUN_00462870@00462870 FUN_00465690@00465690 FUN_0049c1a0@0049c1a0 FUN_0049e890@0049e890 FUN_0052fcf0@0052fcf0 FUN_005c7220@005c7220 FUN_005cf6b0@005cf6b0 FUN_005d8200@005d8200 FUN_005d8370@005d8370 FUN_005d8460@005d8460 FUN_005d94d0@005d94d0 FUN_005db7e0@005db7e0 FUN_005f29a0@005f29a0
PedCreateStimulus	005cee20	211	FUN_004a6520@004a6520 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedCreateXYZ	005cfb50	148	FUN_005cf6b0@005cf6b0 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8460@005d8460 FUN_005d94d0@005d94d0 FUN_005db7e0@005db7e0
PedDelete	005c75f0	57	FUN_005c7280@005c7280 FUN_005d8200@005d8200 FUN_005d9520@005d9520 FUN_005db7e0@005db7e0
PedDeleteWeaponInventorySnapshot	005cf060	46	FUN_0045c860@0045c860 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedDestroyWeapon	005c9630	226	FUN_0045cf70@0045cf70 FUN_004d92c0@004d92c0 FUN_0055c6f0@0055c6f0 FUN_0055c780@0055c780 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005f36d0@005f36d0 FUN_005f3f40@005f3f40
PedDetachAndKillEffect	005ced90	138	FUN_00465430@00465430 FUN_004686d0@004686d0 FUN_00576d80@00576d80 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_00667a00@00667a00
PedDisableMoveOutOfWay	005cefb0	65	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20
PedDismissAllAllies	005cd680	46	FUN_004858f0@004858f0 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedDismissAlly	005cd5d0	171	FUN_00485880@00485880 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20 FUN_0073ad50@0073ad50
PedDontCleanup	005ca020	36	FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedEnableGiftRequirement	005cf5d0	93	FUN_004749f0@004749f0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20 FUN_006a98c0@006a98c0
PedEnRoute			pas de table
PedEnterVehicle	005c8af0	180	FUN_0044a430@0044a430 FUN_00465680@00465680 FUN_0046fa50@0046fa50 FUN_00471240@00471240 FUN_004d32a0@004d32a0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8240@005d8240 thunk_FUN_005ee6d0@005ee930
PedExitVehicle	005c8bb0	95	FUN_0046faf0@0046faf0 FUN_00471320@00471320 FUN_005c7220@005c7220 FUN_005d8200@005d8200 thunk_FUN_005ee6d0@005ee930
PedFaceHeading	005c76b0	107	FUN_005c7220@005c7220 FUN_005c72e0@005c72e0 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0
PedFaceObject	005c77b0	244	FUN_00470ac0@00470ac0 FUN_00471240@00471240 FUN_005c2770@005c2770 FUN_005c7220@005c7220 FUN_005c73c0@005c73c0 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20 FUN_0073ad50@0073ad50 thunk_FUN_005ee6d0@005ee930
PedFaceObjectNow	005c78b0	152	FUN_00443950@00443950 FUN_00470ac0@00470ac0 FUN_00470b10@00470b10 FUN_00470b40@00470b40 FUN_004755e0@004755e0 FUN_005c2770@005c2770 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_006c9990@006c9990
PedFaceXYZ	005c7720	134	FUN_005c7220@005c7220 FUN_005c73c0@005c73c0 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0
PedFightingSystem			pas de table
PedFindAmbientPedOfModelID	005c9b00	404	FUN_0046ffc0@0046ffc0 FUN_00470200@00470200 FUN_00473100@00473100 FUN_00485410@00485410 FUN_005d8240@005d8240 FUN_005d82b0@005d82b0 FUN_005d8460@005d8460 FUN_005f3f40@005f3f40 FUN_005f46a0@005f46a0
PedFindInAreaObject	005d0a30	239	FUN_005c2810@005c2810 FUN_005c7220@005c7220 FUN_005cf850@005cf850 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8450@005d8450 FUN_005d8460@005d8460 operator_delete@005ee940
PedFindInAreaXYZ	005d0960	207	FUN_005cf850@005cf850 FUN_005d82a0@005d82a0 FUN_005d8450@005d8450 FUN_005d8460@005d8460 operator_delete@005ee940
PedFindRandomPed	005c65b0	161	FUN_0049e710@0049e710 FUN_005d8240@005d8240 FUN_005d82b0@005d82b0 FUN_005d8460@005d8460
PedFindRandomSpawnPosition	005cf450	379	FUN_00463560@00463560 FUN_0046ee60@0046ee60 FUN_0049cef0@0049cef0 FUN_0049d710@0049d710 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d84b0@005d84b0
PedFlags			pas de table
PedFlagsTrack			pas de table
PedFlee	005ccff0	130	FUN_00471240@00471240 FUN_0048e5b0@0048e5b0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 thunk_FUN_005ee6d0@005ee930
PedFleeOnBikeGetNextNode	005c7b80	82	FUN_004701f0@004701f0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedFleeOnPathOnBike	005c7ab0	194	FUN_00470200@00470200 FUN_00470e70@00470e70 FUN_00471240@00471240 FUN_0048bf20@0048bf20 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8240@005d8240 FUN_005ed240@005ed240 thunk_FUN_005ee6d0@005ee930
PedFleeOnRoadOnBike	005c7be0	168	FUN_00470200@00470200 FUN_00470f30@00470f30 FUN_00471240@00471240 FUN_0048bf20@0048bf20 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8240@005d8240 thunk_FUN_005ee6d0@005ee930
PedFollowFocus	005c7a20	142	FUN_004701b0@004701b0 FUN_00471ac0@00471ac0 FUN_0048c370@0048c370 FUN_005c7220@005c7220 FUN_005d8200@005d8200 thunk_FUN_005ee6d0@005ee930
PedFollowObject	005c80f0	161	FUN_00470950@00470950 FUN_00471240@00471240 FUN_005c2770@005c2770 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 thunk_FUN_005ee6d0@005ee930
PedFollowPath	005cfbf0	400	FUN_0046fc20@0046fc20 FUN_00470200@00470200 FUN_00471240@00471240 FUN_00471be0@00471be0 FUN_005c6180@005c6180 FUN_005c7220@005c7220 FUN_005cf670@005cf670 FUN_005d8200@005d8200 FUN_005d9f00@005d9f00 FUN_005dbbf0@005dbbf0 FUN_005ec510@005ec510 FUN_005ed240@005ed240 FUN_005f3f40@005f3f40 FUN_0073ad50@0073ad50 thunk_FUN_005ee6d0@005ee930
PedFreeFromTrigger	005c9a30	50	FUN_004998f0@004998f0 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedGetAllyFollower	005cd890	95	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetAllyLeader	005cd830	95	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetAmmoCount	005ceca0	87	FUN_0045cdf0@0045cdf0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetDamageGivenMultiplier	005cf2a0	81	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8480@005d8480
PedGetDamageTakenMultiplier	005cf350	81	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8480@005d8480
PedGetEmotionTowardsPed	005cda70	106	FUN_0048ea70@0048ea70 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetFaction	005cb5c0	63	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetFlag	005cc110	87	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedGetGrappleTargetPed	005cb670	83	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetHeading	005cce30	67	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8480@005d8480
PedGetHeadPos	005cdf30	116	FUN_0048ced0@0048ced0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d84b0@005d84b0
PedGetHealth	005c8e20	88	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8480@005d8480
PedGetHitRecordDamage	005c9810	74	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8480@005d8480
PedGetImmortalFlag	005ce730	81	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedGetLastHitWeapon	005cd500	66	FUN_00474a90@00474a90 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetLastVehicle	005cea20	82	FUN_0044c970@0044c970 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460 thunk_FUN_0073b330@005d8530
PedGetMaxHealth	005c8d80	88	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8480@005d8480
PedGetMoney	005c9110	77	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetName	005cef60	80	FUN_005c7220@005c7220 FUN_005d8200@005d8200 thunk_FUN_0073b3b0@005d84a0
PedGetNameHashID	005cef00	91	FUN_00576d80@00576d80 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetNodeTime	005cb980	64	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8480@005d8480
PedGetOffsetInWorldCoords	005ce500	302	FUN_00414560@00414560 FUN_005c7220@005c7220 FUN_005d81c0@005d81c0 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8480@005d8480 FUN_008b5f90@008b5f90
PedGetPedCountWithModel	005cea80	103	FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetPedToTypeAttitude	005cb4d0	106	FUN_00475230@00475230 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetPosXYZ	005c83d0	205	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8480@005d8480 FUN_005db7e0@005db7e0
PedGetRandomModelId	005c6540	99	FUN_0049c0e0@0049c0e0 FUN_005d8240@005d8240 FUN_005d8460@005d8460
PedGetScenarioObjFlag	005ce680	81	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedGetSpecial	005c9020	67	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460 FUN_0085c6f0@0085c6f0
PedGetTargetPed	005cb600	101	FUN_00496fb0@00496fb0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetTypeToTypeAttitude	005c6b80	69	FUN_0046f6e0@0046f6e0 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetUniqueModelStatus	005cdef0	64	FUN_00522780@00522780 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetVehicleWhoHitMeLast	005c8cf0	139	FUN_0044c970@0044c970 FUN_004ce540@004ce540 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetWeapon	005ce070	97	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGetWhoHitMeLast	005c8c60	134	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8460@005d8460
PedGrappleDamage			pas de table
PedGroundDist			pas de table
PedGroundDistCond			pas de table
PedGuardPed	005cffb0	118	FUN_00465680@00465680 FUN_00465690@00465690 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedHasAggressed	005cdff0	75	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedHasAlly	005cd730	93	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedHasAllyFollower	005cd7e0	79	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedHasAllyLeader	005cd790	79	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedHasGeneratedStimulusOfType	005cbac0	132	FUN_004a5b80@004a5b80 FUN_004a6000@004a6000 FUN_005c60f0@005c60f0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedHasJustKilledPedOfType	005cba20	148	FUN_004a5b80@004a5b80 FUN_004a6000@004a6000 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedHasNumAttackers			pas de table
PedHasPOI	005cbf90	82	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedHasReceivedGift	005cdca0	54	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedHasWeapon	005cd160	103	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedHideHealthBar	005c6770	33	FUN_00553690@00553690
PedIgnoreAttackCone	005cbc20	65	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20
PedIgnoreAttacks	005ca320	65	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20
PedIgnoreStimuli	005ca370	65	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8f20@005d8f20
PedInConversation	005ca2c0	93	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450 FUN_00683de0@00683de0
PedInRectangle	005ca3c0	458	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8450@005d8450
PedIsAlerted	005cca90	495	FUN_00414a20@00414a20 FUN_0048c330@0048c330 FUN_0048d320@0048d320 FUN_004a5940@004a5940 FUN_004a6050@004a6050 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450 FUN_0073ad50@0073ad50 FUN_0085c4d0@0085c4d0
PedIsAnimFlagSet	005c8870	80	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsCurrentAnim	005c8830	51	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsDead	005c8f30	96	FUN_005c7220@005c7220 FUN_005d81c0@005d81c0 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsDoingTask	005cb8a0	105	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_005d8450@005d8450 FUN_005d8f20@005d8f20 FUN_005f3bf0@005f3bf0
PedIsDriver			pas de table
PedIsFacingObject	005c8980	186	FUN_005c2770@005c2770 FUN_005c2810@005c2810 FUN_005c6460@005c6460 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8450@005d8450
PedIsFacingXYZ	005c88c0	179	FUN_005c6460@005c6460 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8450@005d8450
PedIsFemale	005cebf0	82	FUN_00477c70@00477c70 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsHit	005c8a40	165	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsInAnyVehicle	005c87d0	92	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsInAreaObject	005c85d0	383	FUN_005c2770@005c2770 FUN_005c2810@005c2810 FUN_005c2910@005c2910 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8450@005d8450 FUN_005d8f20@005d8f20 thunk_FUN_0073ad50@005d8170
PedIsInAreaXYZ	005c84a0	301	FUN_005c2910@005c2910 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8450@005d8450 thunk_FUN_0073ad50@005d8170
PedIsInCombat	005cdce0	98	FUN_004701f0@004701f0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsInOutfit			pas de table
PedIsInTrigger	005c9930	167	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450 FUN_006d6e50@006d6e50
PedIsInVehicle	005c8750	128	FUN_0044a430@0044a430 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsModel	005c92a0	158	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsOnScreen	005c9340	78	FUN_00467310@00467310 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsOnVehicle	005c8c10	66	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsPedInBox	005cf110	303	FUN_00414bd0@00414bd0 FUN_0046dbd0@0046dbd0 FUN_005646e0@005646e0 FUN_00565ad0@00565ad0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8450@005d8450
PedIsPlayer	005c98c0	97	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsPlaying	005cb830	105	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_005d8450@005d8450 FUN_005d8f20@005d8f20 FUN_005f3bf0@005f3bf0
PedIsPropAttached	005ce0e0	255	FUN_004da9e0@004da9e0 FUN_004daa20@004daa20 FUN_0050e7f0@0050e7f0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_005d8450@005d8450 __stricmp@0085f5af
PedIsSocializing	005cd9b0	93	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsSpotted	005ce1e0	101	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450 FUN_00602dc0@00602dc0
PedIsStandingOnVehicle	005ccf50	147	FUN_0044a430@0044a430 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsTargetable	005ceaf0	249	FUN_004d5990@004d5990 FUN_004d6cd0@004d6cd0 FUN_004d79a0@004d79a0 FUN_004f1100@004f1100 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsTrigger			pas de table
PedIsUsingProp	005cec50	79	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsValid	005c9860	91	FUN_005c7220@005c7220 FUN_005d81c0@005d81c0 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedIsWantingToSocialize	005cda10	93	FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedJoinCombatZone	005ce920	185	FUN_00487a70@00487a70 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8450@005d8450
PedJump	005cd1d0	194	FUN_00471240@00471240 FUN_005c6070@005c6070 FUN_005c6d30@005c6d30 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8240@005d8240 FUN_005d82b0@005d82b0 thunk_FUN_005ee6d0@005ee930
PedLeaveCombatZone	005ce9e0	57	FUN_00486c00@00486c00 FUN_00487a20@00487a20 FUN_005c7220@005c7220 FUN_005d8200@005d8200
PedLockTarget	005cb060	205	FUN_004969a0@004969a0 FUN_00497d20@00497d20 FUN_004989c0@004989c0 FUN_005c7220@005c7220 FUN_005d81c0@005d81c0 FUN_005d8200@005d8200 FUN_005d8fa0@005d8fa0
PedMakeAmbient	005ca850	29	FUN_005ca7b0@005ca7b0 FUN_005d8200@005d8200
